Qualidade dos Dados:;Aprovado  ;Suspeito  ;Reprovado  ;Fora do Limite  ;Não Verificado  ;;;;;;;;;;;;;;;;;;
;Régua Seca  ;Régua Coberta  ;Rio Seco  ;Rio Cortado  ;;;;;;;;;;;;;;;;;;;
Temperatura Interna / Status da Bateria:;;  Normal  ;  Atenção  ;  Crítico  ;Não Verificado  ;;;;;;;;;;;;;;;;;;
Estação: 5 - 86720000 - ENCANTADO;;;;;;;;;;;;;;;;;;;;;;;
Data/Hora;Chuva Horária (mm);Nível adotado (cm);Vazão (m³/s);Bateria (V);Temp. Interna (ºC);;;;;;;;;;;;;;;;;;
18/06/2024 15:15;0.00;1002.00;4834.09;14.00;21.70;;;;;;;;;;;;;;;;;;
18/06/2024 15:00;0.00;1005.00;4856.55;14.00;21.70;;;;;;;;;;;;;;;;;;
18/06/2024 14:45;0.00;1010.00;4894.10;14.00;21.70;;;;;;;;;;;;;;;;;;
18/06/2024 14:30;0.00;1014.00;4924.23;14.00;21.70;;;;;;;;;;;;;;;;;;
18/06/2024 14:15;0.00;1019.00;4962.00;14.10;22.00;;;;;;;;;;;;;;;;;;
18/06/2024 14:00;0.00;1025.00;5007.49;14.10;22.00;;;;;;;;;;;;;;;;;;
18/06/2024 13:45;0.00;1032.00;5060.80;14.10;22.00;;;;;;;;;;;;;;;;;;
18/06/2024 13:30;0.00;1037.00;5099.02;14.10;22.00;;;;;;;;;;;;;;;;;;
18/06/2024 13:15;0.00;1041.00;5129.69;14.10;21.60;;;;;;;;;;;;;;;;;;
18/06/2024 13:00;0.00;1048.00;5183.55;14.10;21.60;;;;;;;;;;;;;;;;;;
18/06/2024 12:45;0.00;1052.00;5214.44;14.10;21.60;;;;;;;;;;;;;;;;;;
18/06/2024 12:30;0.00;1057.00;5253.16;14.10;21.60;;;;;;;;;;;;;;;;;;
18/06/2024 12:15;0.00;1065.00;5315.38;14.40;21.60;;;;;;;;;;;;;;;;;;
18/06/2024 12:00;0.00;1070.00;5354.42;14.40;21.60;;;;;;;;;;;;;;;;;;
18/06/2024 11:45;0.00;1074.00;5385.75;14.40;21.60;;;;;;;;;;;;;;;;;;
18/06/2024 11:30;0.00;1083.00;5456.52;14.40;21.60;;;;;;;;;;;;;;;;;;
18/06/2024 11:15;0.00;1087.00;5488.11;14.40;21.10;;;;;;;;;;;;;;;;;;
18/06/2024 11:00;0.00;1093.00;5535.63;14.40;21.10;;;;;;;;;;;;;;;;;;
18/06/2024 10:45;0.00;1100.00;5591.30;14.40;21.10;;;;;;;;;;;;;;;;;;
18/06/2024 10:30;0.00;1104.00;5623.22;14.40;21.10;;;;;;;;;;;;;;;;;;
18/06/2024 10:15;0.00;1113.00;5695.33;14.50;19.00;;;;;;;;;;;;;;;;;;
18/06/2024 10:00;0.00;1119.00;5743.63;14.50;19.00;;;;;;;;;;;;;;;;;;
18/06/2024 09:45;0.00;1126.00;5800.19;14.50;19.00;;;;;;;;;;;;;;;;;;
18/06/2024 09:30;0.00;1132.00;5848.87;14.50;19.00;;;;;;;;;;;;;;;;;;
18/06/2024 09:15;0.00;1140.00;5914.05;13.10;16.80;;;;;;;;;;;;;;;;;;
18/06/2024 09:00;0.00;1145.00;5954.95;13.10;16.80;;;;;;;;;;;;;;;;;;
18/06/2024 08:45;0.00;1154.00;6028.87;13.10;16.80;;;;;;;;;;;;;;;;;;
18/06/2024 08:30;0.00;1161.00;6086.64;13.10;16.80;;;;;;;;;;;;;;;;;;
18/06/2024 08:15;0.00;1167.00;6136.34;12.90;15.90;;;;;;;;;;;;;;;;;;
18/06/2024 08:00;0.00;1176.00;6211.23;12.90;15.90;;;;;;;;;;;;;;;;;;
18/06/2024 07:45;0.00;1182.00;6261.38;12.90;15.90;;;;;;;;;;;;;;;;;;
18/06/2024 07:30;0.00;1191.00;6336.93;12.90;15.90;;;;;;;;;;;;;;;;;;
18/06/2024 07:15;0.00;1197.00;6387.51;12.90;16.20;;;;;;;;;;;;;;;;;;
18/06/2024 07:00;0.00;1207.00;6472.20;12.90;16.20;;;;;;;;;;;;;;;;;;
18/06/2024 06:45;0.00;1215.00;6540.31;12.90;16.20;;;;;;;;;;;;;;;;;;
18/06/2024 06:30;0.00;1223.00;6608.72;12.90;16.20;;;;;;;;;;;;;;;;;;
18/06/2024 06:15;0.00;1232.00;6686.05;12.90;16.70;;;;;;;;;;;;;;;;;;
18/06/2024 06:00;0.00;1241.00;6763.78;12.90;16.70;;;;;;;;;;;;;;;;;;
18/06/2024 05:45;0.00;1251.00;6850.60;12.90;16.70;;;;;;;;;;;;;;;;;;
18/06/2024 05:30;0.00;1256.00;6894.19;12.90;16.70;;;;;;;;;;;;;;;;;;
18/06/2024 05:15;0.00;1268.00;6999.29;12.90;17.00;;;;;;;;;;;;;;;;;;
18/06/2024 05:00;0.00;1275.00;7060.92;12.90;17.00;;;;;;;;;;;;;;;;;;
18/06/2024 04:45;0.00;1282.00;7122.79;12.90;17.00;;;;;;;;;;;;;;;;;;
18/06/2024 04:30;0.00;1291.00;7202.68;12.90;17.00;;;;;;;;;;;;;;;;;;
18/06/2024 04:15;0.00;1298.00;7265.08;12.90;17.30;;;;;;;;;;;;;;;;;;
18/06/2024 04:00;0.00;1309.00;7363.61;12.90;17.30;;;;;;;;;;;;;;;;;;
18/06/2024 03:45;0.00;1317.00;7435.63;12.90;17.30;;;;;;;;;;;;;;;;;;
18/06/2024 03:30;0.20;1324.00;7498.90;12.90;17.30;;;;;;;;;;;;;;;;;;
18/06/2024 03:15;0.00;1335.00;7598.79;12.90;17.70;;;;;;;;;;;;;;;;;;
18/06/2024 03:00;0.00;1343.00;7671.80;12.90;17.70;;;;;;;;;;;;;;;;;;
18/06/2024 02:45;0.00;1348.00;7717.58;12.90;17.70;;;;;;;;;;;;;;;;;;
18/06/2024 02:30;0.20;1357.00;7800.30;12.90;17.70;;;;;;;;;;;;;;;;;;
18/06/2024 02:15;0.00;1366.00;7883.39;12.80;18.20;;;;;;;;;;;;;;;;;;
18/06/2024 02:00;0.40;1372.00;7939.00;12.80;18.20;;;;;;;;;;;;;;;;;;
18/06/2024 01:45;0.20;1380.00;8013.41;12.80;18.20;;;;;;;;;;;;;;;;;;
18/06/2024 01:30;0.20;1386.00;8069.41;12.80;18.20;;;;;;;;;;;;;;;;;;
18/06/2024 01:15;0.20;1397.00;8172.53;12.70;18.50;;;;;;;;;;;;;;;;;;
18/06/2024 01:00;0.00;1407.00;8266.76;12.70;18.50;;;;;;;;;;;;;;;;;;
18/06/2024 00:45;0.20;1411.00;8304.59;12.70;18.50;;;;;;;;;;;;;;;;;;
18/06/2024 00:30;0.20;1421.00;8399.48;12.70;18.50;;;;;;;;;;;;;;;;;;
18/06/2024 00:15;0.40;1427.00;8456.64;12.70;18.90;;;;;;;;;;;;;;;;;;
18/06/2024 00:00;0.00;1433.00;8513.97;12.70;18.90;;;;;;;;;;;;;;;;;;
