Data;Hora;Chuva (mm);Nível (cm);Vazão (m3/s);
03/05/2024;11:00:00;0             ;1,950             ;9,136.2;
03/05/2024;11:15:00;0             ;1,941             ;9,078.6;
03/05/2024;11:30:00;0             ;1,931             ;9,014.7;
03/05/2024;11:45:00;0             ;1,920             ;8,944.6;
03/05/2024;12:00:00;0             ;1,911             ;8,887.4;
03/05/2024;12:15:00;0             ;1,901             ;8,823.9;
03/05/2024;12:30:00;0             ;1,888             ;8,741.5;
03/05/2024;12:45:00;0             ;1,882             ;8,703.6;
03/05/2024;13:00:00;0             ;1,870             ;8,627.8;
03/05/2024;13:15:00;0             ;1,859             ;8,558.6;
03/05/2024;13:30:00;0             ;1,849             ;8,495.8;
03/05/2024;13:45:00;0             ;1,843             ;8,458.1;
03/05/2024;14:00:00;0             ;1,829             ;8,367.5;
03/05/2024;14:15:00;0             ;1,818             ;8,293.9;
03/05/2024;14:30:00;0             ;1,807             ;8,220.5;
03/05/2024;14:45:00;0             ;1,797             ;8,154;
03/05/2024;15:00:00;0             ;1,787             ;8,087.6;
03/05/2024;15:15:00;0             ;1,775             ;8,008.2;
03/05/2024;15:30:00;0             ;1,767             ;7,955.4;
03/05/2024;15:45:00;0             ;1,759             ;7,902.7;
03/05/2024;16:00:00;0             ;1,744             ;7,804.2;
03/05/2024;16:15:00;0             ;1,735             ;7,745.3;
03/05/2024;16:30:00;0             ;1,721             ;7,653.9;
03/05/2024;16:45:00;0             ;1,710             ;7,582.4;
03/05/2024;17:00:00;0             ;1,703             ;7,536.9;
03/05/2024;17:15:00;0             ;1,690             ;7,452.8;
03/05/2024;17:30:00;0.2             ;1,678             ;7,375.4;
03/05/2024;17:45:00;0             ;1,666             ;7,298.2;
03/05/2024;18:00:00;0.2             ;1,661             ;7,266.1;
03/05/2024;18:15:00;0             ;1,647             ;7,176.6;
03/05/2024;18:30:00;0             ;1,635             ;7,100.1;
03/05/2024;18:45:00;0             ;1,625             ;7,036.5;
03/05/2024;19:00:00;0             ;1,611             ;6,947.8;
03/05/2024;19:15:00;0             ;1,602             ;6,891;
03/05/2024;19:30:00;0             ;1,595             ;6,846.9;
03/05/2024;19:45:00;0             ;1,581             ;6,759;
03/05/2024;20:00:00;0             ;1,569             ;6,683.9;
03/05/2024;20:15:00;0.4             ;1,560             ;6,627.8;
03/05/2024;20:30:00;0.2             ;1,548             ;6,553.2;
03/05/2024;20:45:00;0             ;1,540             ;6,503.6;
03/05/2024;21:00:00;0.2             ;1,526             ;6,417.1;
03/05/2024;21:15:00;0             ;1,522             ;6,392.4;
03/05/2024;21:30:00;0             ;1,507             ;6,300.2;
03/05/2024;21:45:00;0             ;1,497             ;6,239;
03/05/2024;22:00:00;0             ;1,487             ;6,178;
03/05/2024;22:15:00;0             ;1,478             ;6,123.2;
03/05/2024;22:30:00;0             ;1,468             ;6,062.5;
03/05/2024;22:45:00;0             ;1,458             ;6,002;
03/05/2024;23:00:00;0             ;1,448             ;5,941.7;
03/05/2024;23:15:00;0             ;1,436             ;5,869.6;
03/05/2024;23:30:00;0             ;1,427             ;5,815.7;
03/05/2024;23:45:00;0             ;1,418             ;5,762;
04/05/2024;00:00:00;0             ;1,408             ;5,702.5;
04/05/2024;00:15:00;0.2             ;1,398             ;5,643.1;
04/05/2024;00:30:00;0             ;1,391             ;5,601.7;
04/05/2024;00:45:00;0.2             ;1,383             ;5,554.5;
04/05/2024;01:00:00;0.8             ;1,373             ;5,495.6;
04/05/2024;01:15:00;0.8             ;1,364             ;5,442.8;
04/05/2024;01:30:00;2.2             ;1,353             ;5,378.5;
04/05/2024;01:45:00;2.2             ;1,350             ;5,361;
04/05/2024;02:00:00;3             ;1,334             ;5,268;
04/05/2024;02:15:00;2.6             ;1,330             ;5,244.8;
04/05/2024;02:30:00;1.6             ;1,319             ;5,181.2;
04/05/2024;02:45:00;1.6             ;1,316             ;5,163.9;
04/05/2024;03:00:00;0.8             ;1,308             ;5,117.9;
04/05/2024;03:15:00;1.2             ;1,297             ;5,054.8;
04/05/2024;03:30:00;2             ;1,294             ;5,037.6;
04/05/2024;03:45:00;0             ;1,289             ;5,009;
04/05/2024;04:00:00;0.4             ;1,284             ;4,980.5;
04/05/2024;04:15:00;0             ;1,278             ;4,946.4;
04/05/2024;04:30:00;0.2             ;1,272             ;4,912.3;
04/05/2024;04:45:00;0.8             ;1,267             ;4,884;
04/05/2024;05:00:00;0.2             ;1,262             ;4,855.7;
04/05/2024;05:15:00;0             ;1,259             ;4,838.7;
04/05/2024;05:30:00;0             ;1,252             ;4,799.2;
04/05/2024;05:45:00;0.2             ;1,247             ;4,771.1;
04/05/2024;06:00:00;0.6             ;1,241             ;4,737.4;
04/05/2024;06:15:00;0.8             ;1,239             ;4,726.2;
04/05/2024;06:30:00;0.4             ;1,232             ;4,687;
04/05/2024;06:45:00;0             ;1,229             ;4,670.2;
04/05/2024;07:00:00;0             ;1,224             ;4,642.3;
04/05/2024;07:15:00;0             ;1,221             ;4,625.6;
04/05/2024;07:30:00;0.2             ;1,220             ;4,620;
04/05/2024;07:45:00;0.2             ;1,215             ;4,592.2;
04/05/2024;08:00:00;0.2             ;1,214             ;4,586.7;
04/05/2024;08:15:00;1             ;1,208             ;4,553.4;
04/05/2024;08:30:00;0.4             ;1,209             ;4,558.9;
04/05/2024;08:45:00;0.2             ;1,205             ;4,536.8;
04/05/2024;09:00:00;0.2             ;1,205             ;4,536.8;
04/05/2024;09:15:00;0             ;1,205             ;4,536.8;
04/05/2024;09:30:00;0.2             ;1,203             ;4,525.7;
04/05/2024;09:45:00;0             ;1,204             ;4,531.3;
04/05/2024;10:00:00;0             ;1,205             ;4,536.8;
04/05/2024;10:15:00;0             ;1,205             ;4,536.8;
04/05/2024;10:30:00;0             ;1,208             ;4,553.4;
04/05/2024;10:45:00;0             ;1,206             ;4,542.3;
04/05/2024;11:00:00;0             ;1,208             ;4,553.4;
04/05/2024;11:15:00;0             ;1,210             ;4,564.5;
04/05/2024;11:30:00;0             ;1,215             ;4,592.2;
04/05/2024;11:45:00;0             ;1,215             ;4,592.2;
04/05/2024;12:00:00;0             ;1,215             ;4,592.2;
04/05/2024;12:15:00;0.2             ;1,221             ;4,625.6;
04/05/2024;12:30:00;0             ;1,221             ;4,625.6;
04/05/2024;12:45:00;0             ;1,225             ;4,647.9;
04/05/2024;13:00:00;0             ;1,225             ;4,647.9;
04/05/2024;13:15:00;0             ;1,230             ;4,675.8;
04/05/2024;13:30:00;0             ;1,233             ;4,692.6;
04/05/2024;13:45:00;0             ;1,234             ;4,698.2;
04/05/2024;14:00:00;0             ;1,233             ;4,692.6;
04/05/2024;14:15:00;0             ;1,238             ;4,720.6;
04/05/2024;14:30:00;0             ;1,240             ;4,731.8;
04/05/2024;14:45:00;0             ;1,242             ;4,743;
04/05/2024;15:00:00;0             ;1,243             ;4,748.6;
04/05/2024;15:15:00;0             ;1,244             ;4,754.2;
04/05/2024;15:30:00;0.2             ;1,253             ;4,804.9;
04/05/2024;15:45:00;0.6             ;1,255             ;4,816.1;
04/05/2024;16:00:00;0             ;1,262             ;4,855.7;
04/05/2024;16:15:00;0             ;1,263             ;4,861.3;
04/05/2024;16:30:00;0             ;1,268             ;4,889.6;
04/05/2024;16:45:00;0             ;1,275             ;4,929.3;
04/05/2024;17:00:00;0.8             ;1,278             ;4,946.4;
04/05/2024;17:15:00;1.2             ;1,282             ;4,969.1;
04/05/2024;17:30:00;0.8             ;1,286             ;4,991.9;
04/05/2024;17:45:00;0.4             ;1,295             ;5,043.3;
04/05/2024;18:00:00;0.2             ;1,298             ;5,060.5;
04/05/2024;18:15:00;0.4             ;1,303             ;5,089.2;
04/05/2024;18:30:00;1             ;1,308             ;5,117.9;
04/05/2024;18:45:00;0.8             ;1,318             ;5,175.4;
04/05/2024;19:00:00;0.6             ;1,323             ;5,204.3;
04/05/2024;19:15:00;0.6             ;1,324             ;5,210.1;
04/05/2024;19:30:00;1.4             ;1,331             ;5,250.6;
04/05/2024;19:45:00;1             ;1,338             ;5,291.2;
04/05/2024;20:00:00;0.6             ;1,342             ;5,314.4;
04/05/2024;20:15:00;0.6             ;1,349             ;5,355.2;
04/05/2024;20:30:00;1.2             ;1,353             ;5,378.5;
04/05/2024;20:45:00;1             ;1,356             ;5,396;
04/05/2024;21:00:00;1             ;1,359             ;5,413.5;
04/05/2024;21:15:00;0.2             ;1,367             ;5,460.4;
04/05/2024;21:30:00;0.2             ;1,374             ;5,501.5;
04/05/2024;21:45:00;0             ;1,381             ;5,542.7;
04/05/2024;22:00:00;1             ;1,391             ;5,601.7;
04/05/2024;22:15:00;1.2             ;1,398             ;5,643.1;
04/05/2024;22:30:00;0.6             ;1,410             ;5,714.4;
04/05/2024;22:45:00;0             ;1,424             ;5,797.8;
04/05/2024;23:00:00;0             ;1,436             ;5,869.6;
04/05/2024;23:15:00;0             ;1,447             ;5,935.7;
04/05/2024;23:30:00;0             ;1,460             ;6,014.1;
04/05/2024;23:45:00;0             ;1,474             ;6,098.9;
05/05/2024;00:00:00;0             ;1,498             ;6,245.1;
05/05/2024;00:15:00;0             ;1,510             ;6,318.6;
05/05/2024;00:30:00;0             ;1,520             ;6,380.1;
05/05/2024;00:45:00;0             ;1,532             ;6,454.1;
05/05/2024;01:00:00;0             ;1,548             ;6,553.2;
05/05/2024;01:15:00;0             ;1,560             ;6,627.8;
05/05/2024;01:30:00;0             ;1,567             ;6,671.5;
05/05/2024;01:45:00;0             ;1,572             ;6,702.7;
05/05/2024;02:00:00;0             ;1,588             ;6,802.9;
05/05/2024;02:15:00;0             ;1,597             ;6,859.5;
05/05/2024;02:30:00;0             ;1,603             ;6,897.3;
05/05/2024;02:45:00;0             ;1,606             ;6,916.3;
05/05/2024;03:00:00;0             ;1,620             ;7,004.8;
05/05/2024;03:15:00;0             ;1,626             ;7,042.9;
05/05/2024;03:30:00;0             ;1,632             ;7,081;
05/05/2024;03:45:00;0             ;1,639             ;7,125.5;
05/05/2024;04:00:00;0             ;1,645             ;7,163.8;
05/05/2024;04:15:00;0.4             ;1,651             ;7,202.1;
05/05/2024;04:30:00;4.8             ;1,657             ;7,240.5;
05/05/2024;04:45:00;0.2             ;1,662             ;7,272.6;
05/05/2024;05:00:00;0             ;1,664             ;7,285.4;
05/05/2024;05:15:00;0             ;1,668             ;7,311.1;
05/05/2024;05:30:00;0             ;1,673             ;7,343.2;
05/05/2024;05:45:00;0.2             ;1,679             ;7,381.8;
05/05/2024;06:00:00;0             ;1,685             ;7,420.5;
05/05/2024;06:15:00;0             ;1,682             ;7,401.1;
05/05/2024;06:30:00;0             ;1,687             ;7,433.4;
05/05/2024;06:45:00;0             ;1,687             ;7,433.4;
05/05/2024;07:00:00;0             ;1,691             ;7,459.2;
05/05/2024;07:15:00;0             ;1,689             ;7,446.3;
05/05/2024;07:30:00;0             ;1,692             ;7,465.7;
05/05/2024;07:45:00;0             ;1,693             ;7,472.2;
05/05/2024;08:00:00;0             ;1,693             ;7,472.2;
05/05/2024;08:15:00;0             ;1,689             ;7,446.3;
05/05/2024;08:30:00;0             ;1,692             ;7,465.7;
05/05/2024;08:45:00;0             ;1,694             ;7,478.6;
05/05/2024;09:00:00;0             ;1,691             ;7,459.2;
05/05/2024;09:15:00;0.6             ;1,689             ;7,446.3;
05/05/2024;09:30:00;0             ;1,688             ;7,439.9;
05/05/2024;09:45:00;0             ;1,678             ;7,375.4;
05/05/2024;10:00:00;0             ;1,679             ;7,381.8;
05/05/2024;10:15:00;0             ;1,675             ;7,356.1;
05/05/2024;10:30:00;0             ;1,676             ;7,362.5;
05/05/2024;10:45:00;0             ;1,668             ;7,311.1;
05/05/2024;11:00:00;0             ;1,664             ;7,285.4;
05/05/2024;11:15:00;0             ;1,660             ;7,259.7;
05/05/2024;11:30:00;0             ;1,660             ;7,259.7;
05/05/2024;11:45:00;0             ;1,655             ;7,227.7;
05/05/2024;12:00:00;0             ;1,649             ;7,189.3;
05/05/2024;12:15:00;0             ;1,646             ;7,170.2;
05/05/2024;12:30:00;0             ;1,647             ;7,176.6;
05/05/2024;12:45:00;0             ;1,645             ;7,163.8;
05/05/2024;13:00:00;0             ;1,639             ;7,125.5;
05/05/2024;13:15:00;0             ;1,642             ;7,144.7;
05/05/2024;13:30:00;0             ;1,641             ;7,138.3;
05/05/2024;13:45:00;0             ;1,639             ;7,125.5;
05/05/2024;14:00:00;0             ;1,637             ;7,112.8;
05/05/2024;14:15:00;0             ;1,633             ;7,087.4;
05/05/2024;14:30:00;0             ;1,634             ;7,093.7;
05/05/2024;14:45:00;0             ;1,632             ;7,081;
05/05/2024;15:00:00;0             ;1,632             ;7,081;
05/05/2024;15:15:00;0             ;1,629             ;7,061.9;
05/05/2024;15:30:00;0             ;1,626             ;7,042.9;
05/05/2024;15:45:00;0             ;1,625             ;7,036.5;
